,ts_code,symbol,name,industry
1506,300058.SZ,300058,蓝色光标,广告包装
1507,300059.SZ,300059,东方财富,证券
1508,300061.SZ,300061,旗天科技,互联网
1509,300062.SZ,300062,中能电气,电气设备
1510,300063.SZ,300063,天龙集团,互联网
1511,300064.SZ,300064,ST金刚,矿物制品
1512,300065.SZ,300065,海兰信,软件服务
1513,300066.SZ,300066,三川智慧,电器仪表
1514,300067.SZ,300067,安诺其,染料涂料
1515,300068.SZ,300068,南都电源,电气设备
1516,300069.SZ,300069,金利华电,电气设备
1517,300070.SZ,300070,碧水源,环境保护
1518,300071.SZ,300071,华谊嘉信,广告包装
1519,300072.SZ,300072,三聚环保,环境保护
1520,300073.SZ,300073,当升科技,矿物制品
1521,300074.SZ,300074,华平股份,通信设备
1522,300075.SZ,300075,数字政通,软件服务
1523,300076.SZ,300076,GQY视讯,IT设备
1524,300077.SZ,300077,国民技术,半导体
1525,300078.SZ,300078,思创医惠,元器件
1526,300079.SZ,300079,数码科技,通信设备
1527,300080.SZ,300080,易成新能,电气设备
1528,300081.SZ,300081,恒信东方,文教休闲
1529,300082.SZ,300082,奥克股份,化工原料
1530,300083.SZ,300083,创世纪,元器件
1531,300084.SZ,300084,海默科技,石油开采
1532,300085.SZ,300085,银之杰,软件服务
1533,300086.SZ,300086,康芝药业,化学制药
1534,300087.SZ,300087,荃银高科,种植业
1535,300088.SZ,300088,长信科技,元器件
1536,300089.SZ,300089,文化长城,文教休闲
1537,300091.SZ,300091,金通灵,机械基件
1538,300092.SZ,300092,科新机电,专用机械
1539,300093.SZ,300093,金刚玻璃,玻璃
1540,300094.SZ,300094,国联水产,渔业
1541,300095.SZ,300095,华伍股份,机械基件
1542,300096.SZ,300096,易联众,软件服务
1543,300097.SZ,300097,智云股份,电器仪表
1544,300098.SZ,300098,高新兴,通信设备
1545,300099.SZ,300099,精准信息,电器仪表
1546,300100.SZ,300100,双林股份,汽车服务
1547,300101.SZ,300101,振芯科技,通信设备
1548,300102.SZ,300102,乾照光电,半导体
1549,300103.SZ,300103,达刚控股,工程机械
1550,300105.SZ,300105,龙源技术,电器仪表
1551,300106.SZ,300106,西部牧业,农业综合
1552,300107.SZ,300107,建新股份,化工原料
